,fips,CFR,popdensity,percminor,percold,CCVI
1,1001,0.016304348,93.5,0.216201147,0.284473301,9
2,1003,0.023498695,137.1,0.110401703,0.348496941,4
3,1005,0.004201681,28.1,0.499658374,0.323258711,10
4,1007,0.009009009,36,0.221875,0.2940625,9
5,1009,0.00862069,89.7,0.0281639,0.314280775,8
6,1011,0.029315961,16.3,0.72647465,0.304892484,10
7,1013,0.045955882,25.3,0.467428862,0.345325203,9
8,1015,0.014705882,188.6,0.229136222,0.316817907,8
9,1017,0.054736842,56.4,0.41773018,0.342466161,10
10,1021,0.014184397,63.7,0.116911648,0.301112042,9
11,1023,0.0625,14.1,0.421540378,0.38665213,10
12,1025,0.015625,19.3,0.456939799,0.342892977,8
13,1031,0.003401361,76.5,0.214413685,0.294919956,8
14,1033,0.018382353,92.4,0.176417954,0.340728973,6
15,1035,0.009803922,14.4,0.471369227,0.381119166,10
16,1039,0.005681818,35.9,0.138268534,0.359298113,8
17,1041,0.026086957,22.7,0.25354456,0.334780093,10
18,1043,0.003558719,113.6,0.028199228,0.321396898,7
20,1047,0.01183432,39.1,0.714617593,0.328321587,9
21,1049,0.015337423,91.9,0.051775583,0.303172935,8
22,1051,0.016071429,132.4,0.229548036,0.282938684,8
23,1053,0.028037383,38.9,0.361080875,0.310139327,7
24,1055,0.035820896,191.6,0.175490971,0.327040712,7
25,1059,0.013623978,49.5,0.067882537,0.293945095,9
26,1063,0.037878788,12.7,0.808089396,0.376654925,10
27,1065,0.0625,22.9,0.587532256,0.336004346,10
28,1067,0.018518519,30.6,0.27282236,0.366087512,7
29,1069,0.015384615,180.6,0.29148603,0.31041233,7
30,1071,0.024,48,0.060596103,0.349427865,8
31,1073,0.045896538,593.3,0.457482178,0.289971182,6
32,1077,0.011952191,138.4,0.114507452,0.33789386,7
33,1081,0.048209366,269.8,0.279362698,0.22669131,8
35,1085,0.037783375,13.9,0.734309204,0.338981352,10
36,1087,0.047244094,30.3,0.819675687,0.338901242,9
37,1089,0.008517888,457.2,0.288083292,0.290994464,3
38,1091,0.040540541,19.5,0.522133641,0.336515263,10
39,1093,0.082191781,40.1,0.047811041,0.353089406,8
40,1095,0.009988901,169.9,0.052815033,0.301262109,9
41,1097,0.047045952,336.5,0.393716602,0.294987154,8
42,1099,0.014705882,20.5,0.432667205,0.351497603,10
43,1101,0.02371134,287.9,0.629363536,0.277445817,8
44,1103,0.00310559,205.6,0.151290212,0.311792021,8
45,1107,0.042253521,22.6,0.412127596,0.334135821,10
46,1109,0.005952381,49.6,0.408662787,0.261113444,8
47,1111,0.055944056,39.1,0.206028603,0.351287129,10
49,1117,0.029673591,274.8,0.158715294,0.283138702,5
50,1115,0.011049724,140.4,0.108952531,0.303393844,7
51,1119,0.041666667,14,0.740524781,0.320384524,10
52,1121,0.029411765,108.3,0.341045748,0.321466152,9
53,1123,0.139583333,56.5,0.2837988,0.36817542,9
54,1125,0.018436578,158.1,0.342313234,0.247253615,5
55,1127,0.010204082,80.5,0.075355904,0.334479132,7
56,1131,0.035555556,12,0.718735297,0.331890468,10
57,1133,0.0078125,38.6,0.024683009,0.364792899,10
58,2020,0.01734104,171,0.288538715,0.232285328,2
59,2122,0.00862069,3.6,0.1132011,0.333077068,3
60,4001,0.02835443,6.4,0.763165223,0.281865271,10
61,4003,0.022624434,20.6,0.094375641,0.355628303,7
62,4005,0.064093227,7.7,0.316021952,0.239734274,3
63,4012,0.009009009,4.7,0.207223434,0.517774197,9
64,4013,0.028752839,479.4,0.142411259,0.267353447,3
65,4015,0.108414239,15.7,0.060281556,0.466604629,5
66,4017,0.03262519,11.1,0.477350718,0.312961202,9
67,4019,0.056541582,113.1,0.124149121,0.322084204,3
68,4021,0.028061224,83.3,0.145268351,0.322526826,6
69,4023,0.010443864,37.6,0.033583453,0.303863602,8
70,4025,0.018716578,28.6,0.044971184,0.488049208,5
71,4027,0.014982374,38.5,0.0701039,0.285690715,6
72,5007,0.005405405,321.7,0.088082521,0.241680362,6
73,5031,0.005509642,153.5,0.181985667,0.248079368,4
74,5035,0.016759777,79.3,0.552935336,0.267179678,10
75,5045,0.01744186,192.6,0.14453632,0.234275596,2
76,5051,0.006060606,146.3,0.105552978,0.382879158,6
77,5069,0.044233807,78.2,0.587103973,0.311008016,7
78,5077,0.001841621,14.9,0.555036171,0.325431274,10
79,5079,0.011055276,23.8,0.31383098,0.271090189,10
81,5115,0.007117438,78.8,0.057734375,0.279171875,8
82,5119,0.032258065,516.8,0.406720485,0.285481817,6
83,5125,0.011049724,167.8,0.101843997,0.302913005,6
84,5131,0.012121212,240.2,0.14503769,0.288447238,5
85,5133,0.010752688,30.3,0.093295992,0.258999942,9
86,5123,0.002570694,40.1,0.546365816,0.291049176,9
87,5139,0.052884615,37.6,0.343403363,0.32183203,5
88,5143,0.006233766,251.6,0.106245332,0.217909276,5
89,5149,0.006493506,23.2,0.045414442,0.313954028,9
90,6001,0.025489304,2255.4,0.457644894,0.260201722,3
91,6013,0.022188603,1606.6,0.298022544,0.289926666,4
93,6019,0.020325203,166.9,0.204934634,0.227197305,7
94,6023,0.037735849,38.2,0.113189561,0.311579272,7
95,6025,0.010702652,43.5,0.08411842,0.23340318,10
96,6029,0.016286645,110.3,0.148499494,0.214703088,7
97,6031,0.004369197,108.9,0.156660016,0.197356077,9
98,6037,0.039652532,2490.3,0.265480206,0.256043085,5
99,6039,0.013274336,73.8,0.117002385,0.250260033,7
100,6041,0.023448276,499.1,0.108504772,0.375220476,1
101,6047,0.017114914,142,0.151853402,0.213051153,9
102,6053,0.012060302,132.8,0.140178699,0.247847766,6
103,6055,0.015706806,186.3,0.133132975,0.327112189,3
104,6059,0.025231191,4030,0.252260224,0.274833269,5
105,6061,0.023076923,279.4,0.115391366,0.330025003,1
106,6065,0.03402747,340.1,0.170637003,0.258790954,6
107,6067,0.035136642,1597.5,0.316722854,0.263518227,4
108,6069,0.015503876,44.3,0.090433398,0.251149715,6
109,6071,0.030472389,108.3,0.20169939,0.229039562,6
110,6073,0.033081774,794.8,0.205431416,0.258848274,3
111,6075,0.015228426,18845.9,0.432979548,0.271599278,2
112,6077,0.025058275,541,0.289514522,0.239836048,7
113,6079,0.002881844,86.1,0.078754269,0.337995141,2
114,6081,0.038506418,1716.2,0.358879598,0.290588595,2
115,6083,0.008784773,163.3,0.111769277,0.266696079,4
116,6085,0.047058824,1501.9,0.432405539,0.252740804,2
117,6087,0.011673152,616.1,0.090116862,0.298098485,4
118,6095,0.033333333,543.5,0.344508632,0.292646828,4
119,6097,0.005228758,317.3,0.094951014,0.341841654,4
120,6099,0.029335634,367.8,0.129252567,0.244824168,7
121,6107,0.036786787,96.6,0.093897107,0.213744014,9
122,6111,0.025107165,461.7,0.126762847,0.287463556,4
123,6113,0.094117647,217.2,0.20888534,0.228090632,5
124,8001,0.038308061,438.4,0.110731673,0.2131741,3
125,8003,0.023622047,23.1,0.095666247,0.244260625,4
126,8005,0.069530926,816,0.197174512,0.252351374,1
127,8013,0.064338235,449,0.071761971,0.268475641,1
128,8014,0.105660377,2097.1,0.093204556,0.255027647,1
129,8031,0.057089084,4683,0.163295613,0.215872613,1
130,8035,0.060718711,407.9,0.074704763,0.244993815,1
131,8037,0.012779553,32.6,0.044369283,0.243540087,1
132,8041,0.05306543,335.6,0.122415445,0.244837894,2
133,8045,0.010362694,20.3,0.041910658,0.262472812,4
134,8051,0.033149171,5.3,0.042270671,0.253160153,1
135,8059,0.080291971,759.3,0.0589022,0.308650146,2
136,8069,0.041411043,135,0.047769301,0.281802932,1
137,8075,0.007898894,11.7,0.06763285,0.310850985,7
138,8085,0.061538462,18.8,0.037309897,0.384374852,3
139,8087,0.069659443,22.3,0.068877372,0.280236711,7
140,8101,0.0625,70.2,0.071683112,0.319538707,3
141,8117,0.007782101,51,0.035991873,0.274131648,1
142,8123,0.051012753,78.8,0.052410875,0.236582301,2
143,9001,0.082445832,1510.4,0.194542833,0.299010514,2
144,9003,0.118244146,1214.4,0.224841128,0.309686265,2
145,9005,0.093684941,196.7,0.048588987,0.386254838,1
146,9007,0.138686131,440.5,0.0918479,0.365990091,1
147,9009,0.086686022,1418.7,0.202106994,0.313117698,2
148,9011,0.082258065,401.3,0.131615839,0.330694494,1
149,9013,0.06981982,367.9,0.092313197,0.29708258,1
150,9015,0.029978587,228.2,0.056756133,0.317584831,2
151,10001,0.053035144,304.6,0.306435172,0.298403808,3
152,10003,0.043728423,1312.1,0.327771371,0.290353724,2
153,10005,0.033967391,244.9,0.152168035,0.440672348,4
154,11001,0.052556383,11506.2,0.521903894,0.221515969,3
155,12001,0.01814882,308.5,0.275630103,0.248521981,2
156,12005,0.026143791,244.3,0.152638879,0.313373307,6
157,12009,0.026548673,587.6,0.142195095,0.400712743,5
158,12011,0.039401277,1612.9,0.350538114,0.300336193,7
159,12015,0.13594041,271.9,0.080303571,0.574227829,6
160,12017,0.08,254.3,0.054377438,0.525833339,6
161,12019,0.072727273,357.5,0.165051464,0.295632937,8
162,12021,0.023148148,189.4,0.097530173,0.456236393,5
163,12023,0.010928962,88.4,0.203353049,0.327404508,6
164,12027,0.025839793,58.8,0.145962816,0.340633252,10
165,12031,0.028051181,1246.6,0.365968168,0.268128914,6
166,12033,0.038038038,480.7,0.281053706,0.304201766,4
167,12035,0.024154589,230.8,0.140719391,0.464543532,7
168,12039,0.013157895,88.9,0.573844075,0.323353815,10
169,12043,0.00862069,17,0.198994462,0.404182454,10
170,12047,0.007352941,27.9,0.349685535,0.313556953,10
172,12051,0.030769231,36,0.153575898,0.247401097,10
173,12053,0.035460993,403.9,0.081775077,0.420506641,6
174,12055,0.052325581,103.7,0.129790181,0.486615951,9
175,12057,0.025875588,1408.4,0.232349355,0.263100534,6
176,12061,0.055555556,313,0.116959844,0.486319427,3
177,12063,0.003125,52.6,0.289887175,0.328268295,10
178,12069,0.033195021,379.9,0.146481718,0.403784064,7
179,12071,0.045897079,961.9,0.116295835,0.426707836,7
180,12073,0.016913319,438.6,0.361508639,0.24215219,2
181,12075,0.00990099,36.5,0.110473387,0.406916851,10
182,12077,0.004545455,10.1,0.213550905,0.268534941,9
183,12081,0.080928923,531.5,0.121743425,0.421600334,4
184,12083,0.025396825,227.2,0.16108807,0.426660592,7
185,12085,0.014778325,296.1,0.084835189,0.466037337,5
186,12086,0.037213912,1455.2,0.20202413,0.287085912,9
187,12087,0.030769231,76.3,0.090607381,0.396044091,8
188,12091,0.017857143,222.8,0.150061032,0.294366258,4
190,12095,0.013715331,1528.2,0.296304264,0.231469349,6
191,12097,0.024764151,277.2,0.181643523,0.239737493,9
192,12099,0.047597914,754.4,0.236615047,0.3720215,4
193,12101,0.027624309,722.5,0.09924022,0.361247521,6
194,12103,0.042695689,3562,0.153413379,0.408400664,5
195,12105,0.049701789,393.8,0.190489104,0.324915361,9
