sumlev,region,division,statec,fips,population,csba,csa
40,4,8,56,56,578759,,
40,2,3,55,55,5822434,,
40,3,5,54,54,1792147,,
40,4,9,53,53,7614893,,
40,3,5,51,51,8535519,,
40,1,1,50,50,623989,,
40,4,8,49,49,3205958,,
40,3,7,48,48,28995881,,
40,3,6,47,47,6829174,,
40,2,4,46,46,884659,,
40,3,5,45,45,5148714,,
40,1,1,44,44,1059361,,
40,1,2,42,42,12801989,,
40,4,9,41,41,4217737,,
40,3,7,40,40,3956971,,
40,2,3,39,39,11689100,,
40,2,4,38,38,762062,,
40,3,5,37,37,10488084,,
40,1,2,36,36,19453561,,
40,4,8,35,35,2096829,,
40,1,2,34,34,8882190,,
40,1,1,33,33,1359711,,
40,4,8,32,32,3080156,,
40,2,4,31,31,1934408,,
40,4,8,30,30,1068778,,
40,2,4,29,29,6137428,,
40,3,6,28,28,2976149,,
40,2,4,27,27,5639632,,
40,2,3,26,26,9986857,,
40,1,1,25,25,6892503,,
40,3,5,24,24,6045680,,
40,1,1,23,23,1344212,,
40,3,7,22,22,4648794,,
40,3,6,21,21,4467673,,
40,2,4,20,20,2913314,,
40,2,4,19,19,3155070,,
40,2,3,18,18,6732219,,
40,2,3,17,17,12671821,,
40,4,8,16,16,1787065,,
40,4,9,15,15,1415872,,
40,3,5,13,13,10617423,,
40,3,5,12,12,21477737,,
40,3,5,11,11,705749,,
40,3,5,10,10,973764,,
40,1,1,9,9,3565287,,
40,4,8,8,8,5758736,,
40,3,5,78,78,106977,,
40,3,5,72,72,3194000,,
40,4,9,69,69,57541,,
40,4,9,66,66,165768,,
40,4,9,6,6,39512223,,
40,3,7,5,5,3017804,,
40,4,8,4,4,7278717,,
40,4,9,2,2,731545,,
40,3,6,1,1,4903185,,
45,1,1,9,9002,0,,
45,4,8,8,8002,0,,
45,4,9,6,6002,0,,
45,4,8,56,5602,0,,
45,2,3,55,5502,0,,
45,3,5,54,5402,0,,
45,4,9,53,5302,0,,
45,3,5,51,5102,0,,
45,3,7,5,5002,0,,
45,1,1,50,5002,0,,
45,4,8,49,4902,0,,
45,3,7,48,4802,0,,
45,3,6,47,4702,0,,
45,2,4,46,4602,0,,
45,3,5,45,4502,0,,
45,1,1,44,4402,0,,
45,1,2,42,4202,0,,
45,4,9,41,4102,0,,
45,4,8,4,4002,0,,
45,3,7,40,4002,0,,
45,2,3,39,3902,0,,
45,2,4,38,3802,0,,
45,3,5,37,3702,0,,
45,1,2,36,3602,0,,
45,4,8,35,3502,0,,
45,1,2,34,3402,0,,
45,1,1,33,3302,0,,
45,4,8,32,3202,0,,
45,2,4,31,3102,0,,
45,4,8,30,3002,0,,
45,2,4,29,2902,0,,
45,3,6,28,2802,0,,
45,2,4,27,2702,0,,
45,2,3,26,2602,0,,
45,1,1,25,2502,0,,
45,3,5,24,2402,0,,
45,1,1,23,2302,0,,
45,3,7,22,2202,0,,
45,3,6,21,2102,0,,
45,4,9,2,2002,0,,
45,2,4,20,2002,0,,
45,2,4,19,1902,0,,
45,2,3,18,1802,0,,
45,2,3,17,1702,0,,
45,4,8,16,1602,0,,
45,4,9,15,1502,0,,
45,3,5,13,1302,0,,
45,3,5,12,1202,0,,
45,3,5,11,1102,0,,
45,3,6,1,1002,0,,
45,3,5,10,1002,0,,
50,1,2,36,361111,8399000,"New York-Newark-Jersey City, NY-NJ-PA","New York-Newark, NY-NJ-CT-PA"
50,2,4,29,291111,491918,"Kansas City, MO-KS","Kansas City-Overland Park-Kansas City, MO-KS"
50,4,8,56,56045,6927,"Gillette, WY",
50,4,8,56,56043,7805,,
50,4,8,56,56041,20226,"Evanston, WY",
50,4,8,56,56039,23464,"Jackson, WY-ID",
50,4,8,56,56037,42343,"Rock Springs, WY",
50,4,8,56,56035,9831,,
50,4,8,56,56033,30485,"Sheridan, WY",
50,4,8,56,56031,8393,,
50,4,8,56,56029,29194,,
50,4,8,56,56027,2356,,
50,4,8,56,56025,79858,"Casper, WY",
50,4,8,56,56023,19830,,
50,4,8,56,56021,99500,"Cheyenne, WY",
50,4,8,56,56019,8445,,
50,4,8,56,56017,4413,,
50,4,8,56,56015,13211,,
50,4,8,56,56013,39261,"Riverton, WY",
50,4,8,56,56011,7584,"Gillette, WY",
50,4,8,56,56009,13822,,
50,4,8,56,56007,14800,,
50,4,8,56,56005,46341,"Gillette, WY",
50,4,8,56,56003,11790,,
50,4,8,56,56001,38880,"Laramie, WY",
50,2,3,55,55141,72999,"Wisconsin Rapids-Marshfield, WI","Wausau-Stevens Point-Wisconsin Rapids, WI"
50,2,3,55,55139,171907,"Oshkosh-Neenah, WI","Appleton-Oshkosh-Neenah, WI"
50,2,3,55,55137,24443,,
50,2,3,55,55135,50990,,
50,2,3,55,55133,404198,"Milwaukee-Waukesha, WI","Milwaukee-Racine-Waukesha, WI"
50,2,3,55,55131,136034,"Milwaukee-Waukesha, WI","Milwaukee-Racine-Waukesha, WI"
50,2,3,55,55129,15720,,
50,2,3,55,55127,103868,"Whitewater, WI","Milwaukee-Racine-Waukesha, WI"
50,2,3,55,55125,22195,,
50,2,3,55,55123,30822,,
50,2,3,55,55121,29649,,
50,2,3,55,55119,20343,,
50,2,3,55,55117,115340,"Sheboygan, WI",
50,2,3,55,55115,40899,"Shawano, WI","Green Bay-Shawano, WI"
50,2,3,55,55113,16558,,
50,2,3,55,55111,64442,"Baraboo, WI","Madison-Janesville-Beloit, WI"
50,2,3,55,55109,90687,"Minneapolis-St. Paul-Bloomington, MN-WI","Minneapolis-St. Paul, MN-WI"
50,2,3,55,55107,14178,,
50,2,3,55,55105,163354,"Janesville-Beloit, WI","Madison-Janesville-Beloit, WI"
50,2,3,55,55103,17252,,
50,2,3,55,55101,196311,"Racine, WI","Milwaukee-Racine-Waukesha, WI"
50,2,3,55,55099,13351,,
50,2,3,55,55097,70772,"Stevens Point, WI","Wausau-Stevens Point-Wisconsin Rapids, WI"
50,2,3,55,55095,43783,,
50,2,3,55,55093,42754,"Minneapolis-St. Paul-Bloomington, MN-WI","Minneapolis-St. Paul, MN-WI"
50,2,3,55,55091,7287,,
50,2,3,55,55089,89221,"Milwaukee-Waukesha, WI","Milwaukee-Racine-Waukesha, WI"
50,2,3,55,55087,187885,"Appleton, WI","Appleton-Oshkosh-Neenah, WI"
50,2,3,55,55085,35595,,
50,2,3,55,55083,37930,"Green Bay, WI","Green Bay-Shawano, WI"
50,2,3,55,55081,46253,,
50,2,3,55,55079,945726,"Milwaukee-Waukesha, WI","Milwaukee-Racine-Waukesha, WI"
50,2,3,55,55078,4556,"Shawano, WI","Green Bay-Shawano, WI"
50,2,3,55,55077,15574,,
50,2,3,55,55075,40350,"Marinette, WI-MI","Marinette-Iron Mountain, WI-MI"
50,2,3,55,55073,135692,"Wausau-Weston, WI","Wausau-Stevens Point-Wisconsin Rapids, WI"
50,2,3,55,55071,78981,"Manitowoc, WI",
50,2,3,55,55069,27593,"Wausau-Weston, WI","Wausau-Stevens Point-Wisconsin Rapids, WI"
50,2,3,55,55067,19189,,
50,2,3,55,55065,16665,,
50,2,3,55,55063,118016,"La Crosse-Onalaska, WI-MN",
50,2,3,55,55061,20434,"Green Bay, WI","Green Bay-Shawano, WI"
50,2,3,55,55059,169561,"Chicago-Naperville-Elgin, IL-IN-WI","Chicago-Naperville, IL-IN-WI"
50,2,3,55,55057,26687,,
50,2,3,55,55055,84769,"Watertown-Fort Atkinson, WI","Milwaukee-Racine-Waukesha, WI"
50,2,3,55,55053,20643,,
